id;name;gender;age;children;adults_m;adults_f;address;zipcode;origin;phone;email;status;freetext;visits;loc_long;loc_lat;visits
;ali;m;23;0;0;0;Platous gate 11b;190;Sudan;99458442;lars.raaum@gmail.com;;;;;;
;heidar;f;38;2;1;0;Grensen 7;;Syria ;99458442;lars.raaum@gmail.com;;;;;;
;murshid;m;22;0;0;0;Kringkollen 16 b;690;Afghanistan;99458442;lars.raaum@gmail.com;;;;;;
;Yara;f;37;0;0;0;Jørgen B. Lysholms vei 63D;7041;Syria ;99458442;lars.raaum@gmail.com;;;;;;
;Estrella;m;40;2;0;0;Toppåsveien 53;1262;Egypt;99458442;lars.raaum@gmail.com;;;;;;
;Mohamad;m;22;0;1;0;Kolstadgata15 A;652;Eritrea;99458442;lars.raaum@gmail.com;;;;;;
;Bilal;m;34;0;0;1;Enerhauggata 7;651;Etioopia;99458442;lars.raaum@gmail.com;;;;;;
;Asad;m;38;0;1;9;Eindrides vei 7;575;Zimbabwe;99458442;lars.raaum@gmail.com;;;;;;
;Anna;f;26;0;;;Gulleråsveien 19 B;779;Usbekistan;99458442;lars.raaum@gmail.com;;;;;;
;Gayneth;f;28;4;1;0;Oslo;862;Gambia;99458442;lars.raaum@gmail.com;;;;;;
;Davron;f;25;1;0;0;Markveien 7;554;Iran;99458442;lars.raaum@gmail.com;;;;;;
;Lorna;m;37;3;1;;hovseterveien 88;768;Irak;99458442;lars.raaum@gmail.com;;;;;;
;Esayas ;m;36;;;1;alnagata7;192;Kurdistan;99458442;lars.raaum@gmail.com;;;;;;
;Kamran ;m;35;;;;Hasleveien 9;571;Syria ;99458442;lars.raaum@gmail.com;;;;;;
;Dilshod ;m;31;;1;;Østreheimsveien 10a;590;Sudan;99458442;lars.raaum@gmail.com;;;;;;
;Semerab;m;30;;;;Bauneveien 34;1182;Syria ;99458442;lars.raaum@gmail.com;;;;;;
;Daymon;m;28;;1;;Høvikstien 4 ;1363;Afghanistan;99458442;lars.raaum@gmail.com;;;;;;
;shakr;m;31;3;;1;Sigurd Hoels vei 108;655;Syria ;99458442;lars.raaum@gmail.com;;;;;;
;mehari;m;54;4;;1;Solheimvegen 2;9009;Egypt;99458442;lars.raaum@gmail.com;;;;;;
;Aboud;m;36;;;;Fayesgate 11;455;Eritrea;99458442;lars.raaum@gmail.com;;;;;;
;Ali Hamed;m;32;;1;;Damfaret 5;671;Etioopia;99458442;lars.raaum@gmail.com;;;;;;
;Menderis;m;40;;;;Fr.nansens vei 5b;1472;Zimbabwe;99458442;lars.raaum@gmail.com;;;;;;
;Jøran;m;37;;;1;Rektorhaugen 21;876;Kløfta ;99458442;lars.raaum@gmail.com;;;;;;
;Elin;f;27;0;0;3;Ruseløkkveien 45;251;Bergen ;99458442;lars.raaum@gmail.com;;;;;;
;Ragnhild;f;42;0;0;1;Radarveien 7;1152;Løten;99458442;lars.raaum@gmail.com;;;;;;
;Bendedicte;f;47;3;1;;Markveien 29 ;554;Kløfta ;99458442;lars.raaum@gmail.com;;;;;;
;Anne Siri;f;26;0;0;2;Thereses Gate 11 a;358;Bergen ;99458442;lars.raaum@gmail.com;;;;;;
;Sunniva;f;29;1;1;0;Nannestad gt 5 d;654;Løten;99458442;lars.raaum@gmail.com;;;;;;
;Kristoffer ;m;54;0;;1;Lusetjernveien 15;1253;Kløfta ;99458442;lars.raaum@gmail.com;;;;;;
;Barbara ;f;23;1;1;;Trondheimsveien 158c;570;Bergen ;99458442;lars.raaum@gmail.com;;;;;;
;Elisabeth;f;48;1;1;;Thereses gate 14, Bislett;452;Løten;99458442;lars.raaum@gmail.com;;;;;;
;Kenneth ;m;23;;;1;Herregårdsveien 55A;1168;Bergen ;99458442;lars.raaum@gmail.com;;;;;;
;Hilde;f;34;1;;;Herregårdsveien 55A;1168;Løten;99458442;lars.raaum@gmail.com;;;;;;
;Katja;f;20;;1;;Protonveien 29, Bøler;690;Kløfta ;99458442;lars.raaum@gmail.com;;;;;;
;Anette;f;35;;;3;Christies gate 15;557;Bergen ;99458442;lars.raaum@gmail.com;;;;;;
;Ragnhild;f;36;2;1;;Mauritz Hansensgt 4A;350;Løten;99458442;lars.raaum@gmail.com;;;;;;
;Bjørg;f;25;1;1;;røhrtsv 4;1181;Kløfta ;99458442;lars.raaum@gmail.com;;;;;;
;Karin;f;51;;1;;Ekebergveien 3J;192;Bergen ;99458442;lars.raaum@gmail.com;;;;;;
;Helena;f;39;2;1;;Spireaveien 12a;850;Løten;99458442;lars.raaum@gmail.com;;;;;;
;Ingeborg;f;34;1;1;;Blakstad hageby 26a;1392;Kløfta ;99458442;lars.raaum@gmail.com;;;;;;
;Ragne;f;45;;;;Martin Borrebekkens Vei 30;584;Bergen ;99458442;lars.raaum@gmail.com;;;;;;
;Jimmy;m;31;2;0;1;Skoleveien 16 A;1555;Løten;99458442;lars.raaum@gmail.com;;;;;;
