status;type;name;gender;age;children;adults_m;adults_f;address;zipcode;origin;phone;email;freetext;visits;food_concerns;created;bringing
1;guest;ali;male;23;0;1;0;Platous gate 11b;190;Sudan;99458442;ali@example.com;;;;2016-12-24 23:00:12;
1;guest;heidar;female;38;2;1;1;Grensen 7;150;Syria;99458443;heidar@example.com;;;;2016-12-24 23:00:12;
1;guest;murshid;male;22;0;1;0;Kringkollen 16 b;690;Afghanistan;99458444;murshid@example.com;;;;2016-12-24 23:00:12;
1;guest;Yara;female;37;0;0;1;Jørgen B. Lysholms vei 63D;7041;Syria;99458445;Yara@example.com;;;;2016-12-24 23:00:12;
1;guest;Estrella;male;40;2;1;0;Toppåsveien 53;1262;Egypt;99458446;Estrella@example.com;;;;2016-12-24 23:00:12;
1;guest;Mohamad;male;22;0;2;0;Kolstadgata15 A;652;Eritrea;99458447;Mohamad@example.com;;;;2016-12-24 23:00:12;
1;guest;Bilal;male;34;0;1;1;Enerhauggata 7;651;Etioopia;99458448;Bilal@example.com;;;;2016-12-24 23:00:12;
1;guest;Asad;male;38;0;1;1;Eindrides vei 7;575;Zimbabwe;99458449;Asad@example.com;;;;2016-12-24 23:00:12;
1;guest;Anna;female;26;;;1;Gulleråsveien 19 B;779;Usbekistan;99458450;Anna@example.com;;;;2016-12-24 23:00:12;
1;guest;Gayneth;female;28;4;1;1;Oslo;862;Gambia;99458451;Gayneth@example.com;;;;2016-12-24 23:00:12;
1;guest;Davron;male;25;1;0;1;Markveien 7;554;Iran;99458452;Davron@example.com;;;;2016-12-24 23:00:12;
1;guest;Lorna;female;37;3;1;;hovseterveien 88;768;Irak;99458453;Lorna@example.com;;;halal;2016-12-24 23:00:12;
1;guest;Esayas;male;36;;1;1;alnagata7;192;Kurdistan;99458454;Esayas@example.com;;;;2016-12-24 23:00:12;
1;guest;Kamran;male;35;;1;;Hasleveien 9;571;Syria;99458455;Kamran@example.com;;;;2016-12-24 23:00:12;
1;guest;Dilshod;male;31;;2;;Østreheimsveien 10a;590;Sudan;99458456;Dilshod@example.com;;;;2016-12-24 23:00:12;
